AsAt,OccGroup,Score,n
01/2025,2725 Social Workers,45,1
01/2025,3322 Painting Trades Workers,65,186
01/2025,3322 Painting Trades Workers,75,28
01/2025,3322 Painting Trades Workers,70,83
01/2025,3322 Painting Trades Workers,80,6
01/2025,3322 Painting Trades Workers,85,4
01/2025,3322 Painting Trades Workers,55,16
01/2025,3322 Painting Trades Workers,60,51
01/2025,3322 Painting Trades Workers,50,8
01/2025,3322 Painting Trades Workers,45,1
01/2025,3423 Electronics Trades Workers,65,44
01/2025,3423 Electronics Trades Workers,75,17
01/2025,3423 Electronics Trades Workers,70,33
01/2025,3423 Electronics Trades Workers,80,14
01/2025,3423 Electronics Trades Workers,85,5
01/2025,3423 Electronics Trades Workers,55,8
01/2025,3423 Electronics Trades Workers,60,20
01/2025,3423 Electronics Trades Workers,50,1
01/2025,2521 Chiropractors and Osteopaths,65,5
01/2025,2521 Chiropractors and Osteopaths,75,4
01/2025,2521 Chiropractors and Osteopaths,70,6
01/2025,2521 Chiropractors and Osteopaths,55,1
01/2025,2521 Chiropractors and Osteopaths,60,1
01/2025,3941 Cabinetmakers,65,12
01/2025,3941 Cabinetmakers,75,2
01/2025,3941 Cabinetmakers,70,5
01/2025,3941 Cabinetmakers,80,1
01/2025,3941 Cabinetmakers,55,2
01/2025,3941 Cabinetmakers,60,3
01/2025,3941 Cabinetmakers,50,3
01/2025,2243 Economists,65,6
01/2025,2243 Economists,75,17
01/2025,2243 Economists,70,11
01/2025,2243 Economists,80,15
01/2025,2243 Economists,90,11
01/2025,2243 Economists,85,20
01/2025,2243 Economists,55,2
01/2025,2243 Economists,60,9
01/2025,2243 Economists,40,1
01/2025,3311 Bricklayers and Stonemasons,65,28
01/2025,3311 Bricklayers and Stonemasons,75,2
01/2025,3311 Bricklayers and Stonemasons,70,12
01/2025,3311 Bricklayers and Stonemasons,80,2
01/2025,3311 Bricklayers and Stonemasons,55,10
01/2025,3311 Bricklayers and Stonemasons,60,10
01/2025,3311 Bricklayers and Stonemasons,50,1
01/2025,3311 Bricklayers and Stonemasons,45,1
01/2025,1342 Health and Welfare Services Managers,65,10
01/2025,1342 Health and Welfare Services Managers,75,4
01/2025,1342 Health and Welfare Services Managers,70,7
01/2025,1342 Health and Welfare Services Managers,80,4
01/2025,1342 Health and Welfare Services Managers,85,2
01/2025,1342 Health and Welfare Services Managers,60,5
01/2025,2539 Other Medical Practitioners,65,28
01/2025,2539 Other Medical Practitioners,75,49
01/2025,2539 Other Medical Practitioners,70,51
01/2025,2539 Other Medical Practitioners,80,60
01/2025,2539 Other Medical Practitioners,95,4
01/2025,2539 Other Medical Practitioners,90,12
01/2025,2539 Other Medical Practitioners,85,29
01/2025,2539 Other Medical Practitioners,55,3
01/2025,2539 Other Medical Practitioners,60,6
01/2025,2539 Other Medical Practitioners,50,1
01/2025,2539 Other Medical Practitioners,110,1
01/2025,3411 Electricians,65,36
01/2025,3411 Electricians,75,11
01/2025,3411 Electricians,70,15
01/2025,3411 Electricians,80,3
01/2025,3411 Electricians,55,16
01/2025,3411 Electricians,60,14
01/2025,3411 Electricians,50,12
01/2025,3411 Electricians,100,1
01/2025,3411 Electricians,45,5
01/2025,2525 Physiotherapists,65,90
01/2025,2525 Physiotherapists,75,87
01/2025,2525 Physiotherapists,70,109
01/2025,2525 Physiotherapists,80,44
01/2025,2525 Physiotherapists,95,1
01/2025,2525 Physiotherapists,90,3
01/2025,2525 Physiotherapists,85,22
01/2025,2525 Physiotherapists,55,8
01/2025,2525 Physiotherapists,60,19
01/2025,2525 Physiotherapists,50,2
01/2025,2525 Physiotherapists,45,1
01/2025,2512 Medical Imaging Professionals,65,17
01/2025,2512 Medical Imaging Professionals,75,30
01/2025,2512 Medical Imaging Professionals,70,27
01/2025,2512 Medical Imaging Professionals,80,6
01/2025,2512 Medical Imaging Professionals,90,3
01/2025,2512 Medical Imaging Professionals,85,2
01/2025,2512 Medical Imaging Professionals,60,1
01/2025,"4523 Sports Coaches, Instructors and Officials",65,3
01/2025,"4523 Sports Coaches, Instructors and Officials",70,4
01/2025,"4523 Sports Coaches, Instructors and Officials",80,2
01/2025,"4523 Sports Coaches, Instructors and Officials",85,1
01/2025,3222 Sheetmetal Trades Workers,65,2
01/2025,3222 Sheetmetal Trades Workers,70,1
01/2025,3222 Sheetmetal Trades Workers,55,2
01/2025,3222 Sheetmetal Trades Workers,50,2
01/2025,2527 Speech Professionals and Audiologists,65,36
01/2025,2527 Speech Professionals and Audiologists,75,29
01/2025,2527 Speech Professionals and Audiologists,70,37
01/2025,2527 Speech Professionals and Audiologists,80,7
01/2025,2527 Speech Professionals and Audiologists,85,13
01/2025,2527 Speech Professionals and Audiologists,55,3
01/2025,2527 Speech Professionals and Audiologists,60,6
01/2025,2527 Speech Professionals and Audiologists,50,1
01/2025,2524 Occupational Therapists,65,28
01/2025,2524 Occupational Therapists,75,56
01/2025,2524 Occupational Therapists,70,60
01/2025,2524 Occupational Therapists,80,17
01/2025,2524 Occupational Therapists,95,3
01/2025,2524 Occupational Therapists,90,1
01/2025,2524 Occupational Therapists,85,7
01/2025,2524 Occupational Therapists,55,3
01/2025,2524 Occupational Therapists,60,8
01/2025,2524 Occupational Therapists,50,1
01/2025,3421 Airconditioning and Refrigeration Mechanics,65,3
01/2025,3421 Airconditioning and Refrigeration Mechanics,75,2
01/2025,3421 Airconditioning and Refrigeration Mechanics,70,7
01/2025,3421 Airconditioning and Refrigeration Mechanics,80,1
01/2025,3421 Airconditioning and Refrigeration Mechanics,55,3
01/2025,3421 Airconditioning and Refrigeration Mechanics,60,5
01/2025,3421 Airconditioning and Refrigeration Mechanics,35,2
01/2025,2346 Medical Laboratory Scientists,65,26
01/2025,2346 Medical Laboratory Scientists,75,63
01/2025,2346 Medical Laboratory Scientists,70,84
01/2025,2346 Medical Laboratory Scientists,80,28
01/2025,2346 Medical Laboratory Scientists,90,2
01/2025,2346 Medical Laboratory Scientists,85,4
01/2025,2346 Medical Laboratory Scientists,55,2
01/2025,2346 Medical Laboratory Scientists,60,12
01/2025,2415 Special Education Teachers,65,2
01/2025,2415 Special Education Teachers,75,3
01/2025,2415 Special Education Teachers,70,3
01/2025,2415 Special Education Teachers,95,1
01/2025,2415 Special Education Teachers,55,1
01/2025,2415 Special Education Teachers,60,2
01/2025,2415 Special Education Teachers,100,1
01/2025,2723 Psychologists,65,5
01/2025,2723 Psychologists,75,11
01/2025,2723 Psychologists,70,17
01/2025,2723 Psychologists,80,12
01/2025,2723 Psychologists,90,2
01/2025,2723 Psychologists,85,8
01/2025,2723 Psychologists,60,2
01/2025,2541 Midwives,65,5
01/2025,2541 Midwives,75,8
01/2025,2541 Midwives,70,7
01/2025,2541 Midwives,80,4
01/2025,2541 Midwives,85,2
01/2025,2541 Midwives,60,2
01/2025,3341 Plumbers,65,16
01/2025,3341 Plumbers,75,3
01/2025,3341 Plumbers,70,7
01/2025,3341 Plumbers,80,3
01/2025,3341 Plumbers,90,1
01/2025,3341 Plumbers,85,2
01/2025,3341 Plumbers,55,3
01/2025,3341 Plumbers,60,7
01/2025,3341 Plumbers,50,1
01/2025,3241 Panelbeaters,65,1
01/2025,3241 Panelbeaters,75,1
01/2025,3241 Panelbeaters,90,1
01/2025,3241 Panelbeaters,60,1
01/2025,3991 Boat Builders and Shipwrights,65,5
01/2025,3991 Boat Builders and Shipwrights,75,3
01/2025,3991 Boat Builders and Shipwrights,70,6
01/2025,3991 Boat Builders and Shipwrights,80,2
01/2025,3991 Boat Builders and Shipwrights,90,1
01/2025,3991 Boat Builders and Shipwrights,85,2
01/2025,3991 Boat Builders and Shipwrights,55,1
01/2025,2533 Internal Medicine Specialists,65,3
01/2025,2533 Internal Medicine Specialists,75,8
01/2025,2533 Internal Medicine Specialists,70,4
01/2025,2533 Internal Medicine Specialists,80,4
01/2025,2533 Internal Medicine Specialists,95,1
01/2025,2533 Internal Medicine Specialists,50,1
01/2025,3332 Plasterers,65,10
01/2025,3332 Plasterers,75,2
01/2025,3332 Plasterers,70,2
01/2025,3332 Plasterers,80,1
01/2025,3332 Plasterers,85,1
01/2025,3332 Plasterers,55,1
01/2025,3332 Plasterers,60,7
01/2025,3611 Animal Attendants and Trainers,70,1
01/2025,3334 Wall and Floor Tilers,65,50
01/2025,3334 Wall and Floor Tilers,75,5
01/2025,3334 Wall and Floor Tilers,70,18
01/2025,3334 Wall and Floor Tilers,80,5
01/2025,3334 Wall and Floor Tilers,85,1
01/2025,3334 Wall and Floor Tilers,55,3
01/2025,3334 Wall and Floor Tilers,60,16
01/2025,3334 Wall and Floor Tilers,50,1
01/2025,2112 Music Professionals,65,3
01/2025,2112 Music Professionals,75,1
01/2025,2112 Music Professionals,70,2
01/2025,2112 Music Professionals,90,1
01/2025,2112 Music Professionals,85,1
01/2025,2112 Music Professionals,60,1
01/2025,2112 Music Professionals,50,1
01/2025,"2121 Artistic Directors, and Media Producers and Presenters",80,1
01/2025,"2121 Artistic Directors, and Media Producers and Presenters",85,1
01/2025,3211 Automotive Electricians,65,5
01/2025,3211 Automotive Electricians,75,6
01/2025,3211 Automotive Electricians,70,7
01/2025,3211 Automotive Electricians,80,1
01/2025,3211 Automotive Electricians,55,4
01/2025,3211 Automotive Electricians,60,4
01/2025,3211 Automotive Electricians,50,4
01/2025,3211 Automotive Electricians,40,1
01/2025,3211 Automotive Electricians,45,1
01/2025,2534 Psychiatrists,65,1
01/2025,2534 Psychiatrists,70,2
01/2025,2534 Psychiatrists,80,1
01/2025,2534 Psychiatrists,85,1
01/2025,2534 Psychiatrists,60,3
01/2025,2514 Optometrists and Orthoptists,65,1
01/2025,2514 Optometrists and Orthoptists,75,4
01/2025,2514 Optometrists and Orthoptists,70,4
01/2025,2514 Optometrists and Orthoptists,80,1
01/2025,2535 Surgeons,65,1
01/2025,2535 Surgeons,85,2
01/2025,2535 Surgeons,55,1
01/2025,2526 Podiatrists,65,2
01/2025,2526 Podiatrists,75,5
01/2025,2526 Podiatrists,70,5
01/2025,2526 Podiatrists,80,1
01/2025,"2111 Actors, Dancers and Other Entertainers",75,1
01/2025,"2111 Actors, Dancers and Other Entertainers",85,1
01/2025,4524 Sportspersons,70,1
12/2024,2613 Software and Applications Programmers,65,856
12/2024,2613 Software and Applications Programmers,75,1316
12/2024,2613 Software and Applications Programmers,70,1082
12/2024,2613 Software and Applications Programmers,80,1127
12/2024,2613 Software and Applications Programmers,95,178
12/2024,2613 Software and Applications Programmers,90,951
12/2024,2613 Software and Applications Programmers,85,1218
12/2024,2613 Software and Applications Programmers,55,114
12/2024,2613 Software and Applications Programmers,60,236
12/2024,2613 Software and Applications Programmers,50,34
12/2024,2613 Software and Applications Programmers,110,1
12/2024,2613 Software and Applications Programmers,100,18
12/2024,2613 Software and Applications Programmers,105,4
12/2024,2613 Software and Applications Programmers,45,2
12/2024,2613 Software and Applications Programmers,25,1
12/2024,2613 Software and Applications Programmers,125,1
12/2024,2613 Software and Applications Programmers,35,1
12/2024,3212 Motor Mechanics,65,389
12/2024,3212 Motor Mechanics,75,215
12/2024,3212 Motor Mechanics,70,299
12/2024,3212 Motor Mechanics,80,97
12/2024,3212 Motor Mechanics,90,10
12/2024,3212 Motor Mechanics,85,32
12/2024,3212 Motor Mechanics,55,75
12/2024,3212 Motor Mechanics,60,156
12/2024,3212 Motor Mechanics,50,25
12/2024,3212 Motor Mechanics,45,2
12/2024,2332 Civil Engineering Professionals,65,712
12/2024,2332 Civil Engineering Professionals,75,849
12/2024,2332 Civil Engineering Professionals,70,846
12/2024,2332 Civil Engineering Professionals,80,607
12/2024,2332 Civil Engineering Professionals,95,6
12/2024,2332 Civil Engineering Professionals,90,77
12/2024,2332 Civil Engineering Professionals,85,392
12/2024,2332 Civil Engineering Professionals,55,141
12/2024,2332 Civil Engineering Professionals,60,201
12/2024,2332 Civil Engineering Professionals,50,47
12/2024,2332 Civil Engineering Professionals,100,5
12/2024,2332 Civil Engineering Professionals,40,1
12/2024,2332 Civil Engineering Professionals,45,6
12/2024,2411 Early Childhood (Pre-primary School) Teachers,65,465
12/2024,2411 Early Childhood (Pre-primary School) Teachers,75,221
12/2024,2411 Early Childhood (Pre-primary School) Teachers,70,670
12/2024,2411 Early Childhood (Pre-primary School) Teachers,80,160
12/2024,2411 Early Childhood (Pre-primary School) Teachers,90,3
12/2024,2411 Early Childhood (Pre-primary School) Teachers,85,38
12/2024,2411 Early Childhood (Pre-primary School) Teachers,55,21
12/2024,2411 Early Childhood (Pre-primary School) Teachers,60,117
12/2024,2411 Early Childhood (Pre-primary School) Teachers,50,8
12/2024,2411 Early Childhood (Pre-primary School) Teachers,45,3
12/2024,2611 ICT Business and Systems Analysts,65,487
12/2024,2611 ICT Business and Systems Analysts,75,872
12/2024,2611 ICT Business and Systems Analysts,70,616
12/2024,2611 ICT Business and Systems Analysts,80,755
12/2024,2611 ICT Business and Systems Analysts,95,151
12/2024,2611 ICT Business and Systems Analysts,90,707
12/2024,2611 ICT Business and Systems Analysts,85,738
12/2024,2611 ICT Business and Systems Analysts,55,42
12/2024,2611 ICT Business and Systems Analysts,60,166
12/2024,2611 ICT Business and Systems Analysts,50,13
12/2024,2611 ICT Business and Systems Analysts,100,17
12/2024,2611 ICT Business and Systems Analysts,40,1
12/2024,2611 ICT Business and Systems Analysts,45,2
12/2024,2211 Accountants,65,659
12/2024,2211 Accountants,75,915
12/2024,2211 Accountants,70,939
12/2024,2211 Accountants,80,722
12/2024,2211 Accountants,95,64
12/2024,2211 Accountants,90,327
12/2024,2211 Accountants,85,624
12/2024,2211 Accountants,55,40
12/2024,2211 Accountants,60,190
12/2024,2211 Accountants,50,8
12/2024,2211 Accountants,100,15
12/2024,2211 Accountants,40,1
12/2024,2211 Accountants,45,6
12/2024,2211 Accountants,35,1
12/2024,2344 Geologists Geophysicists and Hydrogeologists,65,12
12/2024,2344 Geologists Geophysicists and Hydrogeologists,75,12
12/2024,2344 Geologists Geophysicists and Hydrogeologists,70,6
12/2024,2344 Geologists Geophysicists and Hydrogeologists,80,6
12/2024,2344 Geologists Geophysicists and Hydrogeologists,90,1
12/2024,2344 Geologists Geophysicists and Hydrogeologists,85,3
12/2024,2344 Geologists Geophysicists and Hydrogeologists,55,1
12/2024,2344 Geologists Geophysicists and Hydrogeologists,60,2
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",65,160
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",75,252
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",70,139
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",80,220
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",95,30
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",90,160
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",85,203
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",55,17
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",60,38
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",50,9
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",100,3
12/2024,"2621 Database and Systems Administrators, and ICT Security Specialists",45,1
12/2024,"2212 Auditors, Company Secretaries and Corporate Treasurers",65,237
12/2024,"2212 Auditors, Company Secretaries and Corporate Treasurers",75,338
12/2024,"2212 Auditors, Company Secretaries and Corporate Treasurers",70,341
